id,key,value,type
3940472961,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472961,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472961,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472962,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472962,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472962,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472962,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472963,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472963,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472963,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472963,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472964,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472964,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472964,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472964,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472965,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472965,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472965,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472965,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472966,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472966,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
